1
16 110
5 14 6
11 10 12
4 9 9
2 5 12
14 12 6
6 16 6
4 3 12
2 1 12
14 3 6
16 5 12
7 1 9
1 5 4
15 1 4
11 4 12
2 8 6
5 7 9
10 12 12
7 2 9
15 3 12
15 13 12
3 11 3
13 10 12
1 9 9
3 5 12
6 13 6
12 2 12
9 5 9
2 5 12
14 12 6
16 15 12
8 11 6
6 5 6
5 9 9
6 1 6
14 3 6
5 14 6
10 8 6
15 16 12
13 7 9
11 4 12
1 13 12
5 2 12
6 8 6
7 16 9
11 12 12
5 15 5
8 11 6
1 12 12
6 7 6
10 13 12
6 13 6
8 4 6
6 15 6
14 11 6
13 9 9
1 15 4
8 5 6
6 9 6
8 9 6
4 7 9
13 14 6
16 10 12
2 11 2
13 14 6
9 11 9
15 12 12
10 2 12
9 13 9
2 12 12
11 5 12
16 7 9
4 12 12
2 4 12
14 4 6
5 2 12
10 16 12
12 4 12
13 7 9
9 14 6
11 16 13
4 8 6
6 11 6
10 2 12
7 9 9
11 12 12
7 10 9
14 13 6
13 5 12
4 6 6
2 7 9
10 11 12
15 12 12
9 14 6
1 10 4
8 2 6
5 1 4
4 10 4
11 6 6
4 11 12
1 15 4
6 16 6
16 11 13
3 11 3
9 2 9
12 6 6
10 14 6
15 6 6
9 7 9
5 11 12
16 9 9
