350
38 38
24 14 618350
31 30 186770
37 13 218953
19 33 495249
10 3 680026
38 6 957211
12 25 765256
30 33 747703
19 6 773885
21 8 978271
35 11 481580
36 3 745946
13 5 905530
17 24 349942
30 18 598221
1 27 516186
16 9 470675
27 6 860976
13 33 455698
24 23 134590
13 9 629985
9 15 778634
29 34 451175
19 10 626569
17 22 951506
11 1 950397
5 3 787951
30 32 546189
24 2 836570
1 36 914424
4 19 291826
16 8 764716
27 30 165880
35 14 480060
38 35 898803
12 14 506935
20 23 541282
35 26 980475
36 122
32 26 265984
4 33 353361
10 4 366871
23 32 396805
29 1 357360
11 28 191597
22 13 108832
3 24 375276
1 33 340169
23 33 309126
21 8 273646
19 9 87723
23 16 345126
31 20 271800
4 20 283434
15 1 316626
29 31 229448
2 34 170718
10 3 294225
21 14 136310
5 15 105059
11 2 321224
6 1 76634
15 33 367957
34 24 246029
27 33 141928
26 3 343281
25 32 233041
31 3 174010
1 13 303382
29 36 298853
23 34 335890
14 12 129159
3 4 93305
34 31 437782
10 7 318218
30 32 347593
29 17 288856
14 22 105264
23 27 167198
4 32 170602
13 23 196917
5 26 329254
17 18 198566
1 23 203547
25 11 426786
16 17 259036
10 30 276909
13 14 80107
11 9 209879
19 6 151345
17 2 342253
19 30 208339
35 31 143808
7 35 264459
36 15 301056
31 5 236667
27 35 289124
2 36 245456
34 25 145222
1 5 211567
19 21 131606
19 35 104320
17 23 397342
31 6 190833
30 3 321532
32 24 333848
4 6 342935
3 9 247058
18 22 365492
9 24 231602
18 21 303648
11 6 278913
14 7 328595
13 10 210293
3 6 310680
27 31 284871
21 26 293435
33 3 260056
27 6 294111
34 11 443067
30 29 173409
8 11 264196
18 11 436902
32 10 350131
28 21 174302
8 10 230781
8 15 288323
23 7 321103
17 25 258207
7 32 417380
10 1 177418
28 9 130419
3 32 77297
2 8 324818
9 16 272676
27 5 369807
24 8 285919
14 11 238997
23 22 305749
25 4 400753
33 28 363526
29 32 285030
18 1 322321
24 10 191930
12 35 228775
7 17 400042
20 27 207511
22 31 62816
9 29 217104
1 28 240534
14 34 358200
31 23 286226
8 31 129970
28 25 305276
35 13 179723
20 19 252013
36 24 284156
36 10 385345
29 6 280726
35 20 356333
30 11 201212
16 100
16 8 44437
15 5 157711
13 8 156183
15 2 208952
12 2 282135
11 13 95861
15 3 149179
7 5 347400
10 2 133038
6 7 196709
3 10 73265
10 9 154316
5 10 300790
16 13 200620
16 14 230549
15 8 77970
16 9 200809
1 15 220654
7 1 191350
9 5 366760
16 11 177718
12 10 295627
12 16 249134
12 14 286410
16 15 122407
2 16 86545
2 3 59773
5 14 23748
2 5 340842
12 6 166109
3 13 227392
11 10 131225
1 4 66244
11 1 275965
7 13 217746
14 11 357763
7 15 200829
7 3 119875
7 11 225153
4 13 172027
4 11 267888
3 8 71209
8 7 122859
6 2 190151
15 12 366155
5 3 281069
11 6 281324
6 13 304226
6 4 268097
3 14 257321
16 6 103606
13 2 287165
9 7 293912
15 13 127939
14 2 317094
1 16 98247
8 5 235681
9 3 227581
6 5 347764
5 13 285650
15 6 226013
7 16 93103
14 9 343012
14 6 324016
15 10 168900
9 8 237293
12 11 334077
8 11 222155
9 2 287354
11 3 204490
9 15 209049
1 13 238271
15 4 286898
10 14 277042
7 4 257594
8 12 293571
9 4 253137
11 9 176971
6 8 148043
14 13 261902
14 15 133963
4 16 164491
6 10 150099
7 10 139596
4 2 251036
3 6 130378
3 12 222362
9 12 157106
1 5 156050
13 12 238216
7 2 179648
3 1 125019
4 5 147494
8 1 142684
1 14 132302
7 14 323652
10 13 227086
10 1 144740
6 9 304415
2 1 184792
15 25
4 8 484859
5 11 257666
4 5 621014
1 6 365655
6 12 281235
10 5 21671
1 11 586567
6 2 205912
13 9 316566
10 12 442880
13 14 218429
2 9 516044
12 5 464551
11 15 400107
5 6 183316
3 11 451590
5 15 142441
10 9 194389
7 10 457516
7 6 619161
8 6 382598
5 3 224020
11 14 299213
2 8 575642
15 12 529331
30 215
2 4 161125
6 28 68204
20 19 202402
27 11 190828
12 24 62920
16 7 293599
6 19 209778
24 28 183839
28 29 243576
23 9 89139
16 18 91982
11 20 256396
25 24 25661
26 6 176222
6 8 196670
29 12 129771
7 3 378801
23 26 97383
16 8 14930
16 12 107822
17 8 10142
13 5 196357
15 13 125509
4 22 246561
18 8 91528
24 4 165719
2 10 52594
22 30 191251
20 26 144514
17 1 102297
13 4 152603
9 10 95799
15 18 78080
17 10 21789
7 19 366479
28 11 22449
25 22 214313
5 23 107172
8 29 115110
7 20 435614
28 9 227165
14 28 147323
29 23 72360
3 6 178161
29 7 321248
28 8 128466
24 10 57188
19 21 151862
9 4 204330
2 22 172175
20 3 200843
21 23 92550
9 6 201814
19 24 64821
3 29 181392
26 28 151505
28 5 278388
21 15 208496
8 15 99650
1 16 77225
16 29 120756
3 12 166443
8 26 23039
19 18 192340
21 16 140946
1 27 161366
20 29 191446
9 27 183223
9 20 42933
22 11 255694
30 1 159173
17 22 159819
26 12 69853
14 2 184383
17 18 94873
15 9 127396
27 26 122110
16 30 93831
29 26 130217
1 9 125317
9 11 213463
12 20 74661
15 24 138625
6 29 211808
10 19 103641
30 2 44520
18 2 42671
22 3 199881
7 5 286436
29 27 204897
30 20 209472
13 7 334388
1 2 114653
4 30 139779
6 30 186790
4 11 202901
17 28 138608
24 6 144957
11 29 221127
15 16 84720
14 8 120142
29 30 172763
4 23 171228
23 16 59414
1 19 177583
23 6 139448
23 7 323653
24 13 94694
27 7 350257
13 19 141147
20 1 82384
27 30 111949
28 21 256112
17 26 12897
10 21 139293
14 3 220274
8 9 107446
5 8 149922
12 6 196859
8 4 96884
5 22 201396
11 1 198172
7 22 428346
23 24 5509
25 6 159600
21 11 233663
26 9 101581
23 19 70330
9 21 181689
6 22 333609
6 20 244747
16 6 198862
14 9 198684
27 12 191963
25 8 94496
2 21 190257
23 20 132072
10 5 158851
3 30 8629
28 10 140113
17 19 125430
5 26 165029
22 27 218888
16 28 143396
12 5 164583
15 10 88003
16 3 85202
24 26 91874
7 10 296882
30 14 228903
9 30 189542
9 16 99082
26 25 107112
23 12 57411
6 14 79119
4 21 224530
28 20 270098
15 20 161628
12 14 166956
13 9 139871
5 29 34812
19 26 138327
25 3 129184
18 28 188519
2 28 145848
21 1 129252
11 24 174852
12 13 148611
25 30 120555
21 24 87041
27 14 219213
3 13 59968
1 3 150544
14 15 219792
24 14 188977
10 27 87424
10 8 11647
26 3 123171
7 8 308529
3 8 100132
27 8 99071
23 10 62697
6 5 246620
1 18 157324
23 17 84486
10 13 44072
18 30 87191
17 11 116159
22 15 136766
4 27 195955
29 1 109062
16 27 84141
26 4 119923
25 12 37259
28 30 118586
25 9 68987
11 15 158808
17 24 78977
6 1 276087
2 27 133452
15 2 35409
17 3 110274
25 29 92512
10 20 138732
29 13 161545
7 28 365485
4 1 189039
6 18 171263
20 25 111920
27 5 239709
7 1 370824
2 7 342911
15 12 159124
17 2 74383
24 7 329162
25 46
3 23 263687
21 19 878272
8 22 657881
25 6 98354
7 3 606780
9 14 587770
18 14 226428
