Case #1: 38
1 11 950397
1 27 516186
1 36 914424
2 24 836570
3 5 787951
3 10 680026
3 36 745946
4 19 291826
5 13 905530
6 19 773885
6 27 860976
6 38 957211
8 16 764716
8 21 978271
9 13 629985
9 15 778634
9 16 470675
10 19 626569
11 35 481580
12 14 506935
12 25 765256
13 33 455698
13 37 218953
14 24 618350
14 35 480060
17 22 951506
17 24 349942
18 30 598221
19 33 495249
20 23 541282
23 24 134590
26 35 980475
27 30 165880
29 34 451175
30 31 186770
30 32 546189
30 33 747703
35 38 898803
Case #2: 122
1 5 211567
1 6 76634
1 10 177418
1 13 303382
1 15 316626
1 18 322321
1 23 203547
1 28 240534
1 29 357360
1 33 340169
2 8 324818
2 11 321224
2 17 342253
2 34 170718
2 36 245456
3 4 93305
3 6 310680
3 9 247058
3 10 294225
3 24 375276
3 26 343281
3 30 321532
3 31 174010
3 32 77297
3 33 260056
4 6 342935
4 10 366871
4 20 283434
4 25 400753
4 32 170602
4 33 353361
5 15 105059
5 26 329254
5 27 369807
5 31 236667
6 11 278913
6 19 151345
6 27 294111
6 29 280726
6 31 190833
7 10 318218
7 14 328595
7 17 400042
7 23 321103
7 32 417380
7 35 264459
8 10 230781
8 11 264196
8 15 288323
8 21 273646
8 24 285919
8 31 129970
9 11 209879
9 16 272676
9 19 87723
9 24 231602
9 28 130419
9 29 217104
10 13 210293
10 24 191930
10 30 276909
10 32 350131
10 36 385345
11 14 238997
11 18 436902
11 25 426786
11 28 191597
11 30 201212
11 34 443067
12 14 129159
12 35 228775
13 14 80107
13 22 108832
13 23 196917
13 35 179723
14 21 136310
14 22 105264
14 34 358200
15 33 367957
15 36 301056
16 17 259036
16 23 345126
17 18 198566
17 23 397342
17 25 258207
17 29 288856
18 21 303648
18 22 365492
19 20 252013
19 21 131606
19 30 208339
19 35 104320
20 27 207511
20 31 271800
20 35 356333
21 26 293435
21 28 174302
22 23 305749
22 31 62816
23 27 167198
23 31 286226
23 32 396805
23 33 309126
23 34 335890
24 32 333848
24 34 246029
24 36 284156
25 28 305276
25 32 233041
25 34 145222
26 32 265984
27 31 284871
27 33 141928
27 35 289124
28 33 363526
29 30 173409
29 31 229448
29 32 285030
29 36 298853
30 32 347593
31 34 437782
31 35 143808
Case #3: 100
1 2 184792
1 3 125019
1 4 66244
1 5 156050
1 7 191350
1 8 142684
1 10 144740
1 11 275965
1 13 238271
1 14 132302
1 15 220654
1 16 98247
2 3 59773
2 4 251036
2 5 340842
2 6 190151
2 7 179648
2 9 287354
2 10 133038
2 12 282135
2 13 287165
2 14 317094
2 15 208952
2 16 86545
3 5 281069
3 6 130378
3 7 119875
3 8 71209
3 9 227581
3 10 73265
3 11 204490
3 12 222362
3 13 227392
3 14 257321
3 15 149179
4 5 147494
4 6 268097
4 7 257594
4 9 253137
4 11 267888
4 13 172027
4 15 286898
4 16 164491
5 6 347764
5 7 347400
5 8 235681
5 9 366760
5 10 300790
5 13 285650
5 14 23748
5 15 157711
6 7 196709
6 8 148043
6 9 304415
6 10 150099
6 11 281324
6 12 166109
6 13 304226
6 14 324016
6 15 226013
6 16 103606
7 8 122859
7 9 293912
7 10 139596
7 11 225153
7 13 217746
7 14 323652
7 15 200829
7 16 93103
8 9 237293
8 11 222155
8 12 293571
8 13 156183
8 15 77970
8 16 44437
9 10 154316
9 11 176971
9 12 157106
9 14 343012
9 15 209049
9 16 200809
10 11 131225
10 12 295627
10 13 227086
10 14 277042
10 15 168900
11 12 334077
11 13 95861
11 14 357763
11 16 177718
12 13 238216
12 14 286410
12 15 366155
12 16 249134
13 14 261902
13 15 127939
13 16 200620
14 15 133963
14 16 230549
15 16 122407
Case #4: 25
1 6 365655
1 11 586567
2 6 205912
2 8 575642
2 9 516044
3 5 224020
3 11 451590
4 5 621014
4 8 484859
5 6 183316
5 10 21671
5 11 257666
5 12 464551
5 15 142441
6 7 619161
6 8 382598
6 12 281235
7 10 457516
9 10 194389
9 13 316566
10 12 442880
11 14 299213
11 15 400107
12 15 529331
13 14 218429
Case #5: Impossible
Case #6: 46
1 2 393967
1 12 29800
1 20 358281
2 18 101816
2 19 753973
2 20 422618
2 24 89204
3 7 606780
3 12 519182
3 23 263687
4 7 604536
4 20 391909
4 21 800980
5 6 655345
5 9 796047
5 10 601685
5 20 689999
6 11 630286
6 18 318487
6 21 544602
6 25 98354
7 14 284401
7 16 315018
8 10 187569
8 22 657881
9 14 587770
10 13 418798
10 22 470312
10 24 217121
11 18 611807
11 24 624419
11 25 594303
12 17 583341
13 19 841222
